"gene_name","gene_ort","TDN_num_patients","TP_num_patients","TDN_num_sites","TP_num_sites","TDN_peak_abund","TP_peak_abund","TDN_peak_relAbund","TP_peak_relAbund","abund_gini","long_count","max_geneDist","genomic_range","ort_fisher_test","On_Onco_List","Top_1pc_Abund","Top_10pc_Abund","Within_Cluster","Cluster_target.min"
"LOC100996437","+",2,1,2,1,1,1,0.0372300819061802,0.769230769230769,0,1,1622,14998,1,FALSE,FALSE,FALSE,FALSE,NA
"LOC100996447","-",1,0,1,0,1,0,0.02389486260454,0,0,0,0,158548214,1,FALSE,FALSE,FALSE,FALSE,NA
"LOC100996455","+",6,1,6,1,1,1,0.0635324015247776,0.0287438919229664,0,1,16931,34973,0.428571428571429,FALSE,FALSE,FALSE,FALSE,NA
"LOC100996583","+",21,8,31,14,3,2,0.0556483027267668,0.480769230769231,0.0619047619047617,2,0,14479,0.326194600726648,FALSE,TRUE,TRUE,FALSE,NA
"LOC100996635","+",1,1,1,1,1,1,0.0118147448015123,0.116959064327485,0,1,209693,19454,1,FALSE,FALSE,FALSE,FALSE,NA
"LOC100996654","+",0,1,0,1,0,1,0,0.625,0,1,0,54800496,1,FALSE,FALSE,FALSE,FALSE,NA
"LOC100996724","-",10,9,10,10,1,3,0.106609808102345,1.0752688172043,0.15,1,69843,260307,0.369849964277209,FALSE,FALSE,TRUE,FALSE,NA
"LOC100996740","*",1,2,1,2,1,1,0.0432338953739732,0.0386697602474865,0,1,10330,5039,1,FALSE,FALSE,FALSE,FALSE,NA
"LOC100996842","-",1,0,1,0,1,0,0.0320924261874198,0,0,0,0,7582172,1,FALSE,FALSE,FALSE,FALSE,NA
"LOC101060091","-",4,4,4,4,2,1,0.0367242012486228,3.33333333333333,0,1,17874,68598,1,FALSE,FALSE,TRUE,FALSE,NA
"LOC101241902","-",1,1,1,1,1,1,0.0126598303582732,0.00651168848082308,0,1,2797,870,1,FALSE,FALSE,FALSE,FALSE,NA
"LOC101559451","+",1,1,1,1,1,1,0.00779787897691828,0.0708215297450425,0,1,650,848,1,FALSE,FALSE,FALSE,FALSE,NA
"LOC101926892","+",1,1,1,1,1,1,0.0932835820895522,0.0894454382826476,0,1,22927,25758,1,FALSE,FALSE,FALSE,FALSE,NA
"LOC101926898","+",1,0,1,0,1,0,0.0343053173241852,0,0,0,3262,46536749,1,FALSE,FALSE,FALSE,FALSE,NA
"LOC101926905","-",2,0,2,0,1,0,0.0307881773399015,0,0,0,15190,141070314,1,FALSE,FALSE,FALSE,FALSE,NA
