"gene_name","gene_ort","TDN_num_patients","TP_num_patients","TDN_num_sites","TP_num_sites","TDN_peak_abund","TP_peak_abund","TDN_peak_relAbund","TP_peak_relAbund","abund_gini","long_count","max_geneDist","genomic_range","ort_fisher_test","On_Onco_List","Top_1pc_Abund","Top_10pc_Abund","Within_Cluster","Cluster_target.min"
"LINC01854","-",0,1,0,1,0,1,0,0.000457875457875458,0,1,298944,129572835,1,FALSE,FALSE,FALSE,FALSE,NA
"LINC01857","+",1,0,1,0,1,0,0.000509164969450102,0,0,0,12188,207691310,1,FALSE,FALSE,FALSE,FALSE,NA
"LINC01858","-",0,2,0,2,0,1,0,0.00176991150442478,0,1,12381,23073646,1,FALSE,FALSE,FALSE,FALSE,NA
"LINC01864","+",0,1,0,1,0,1,0,0.00584795321637427,0,1,491,56079291,1,FALSE,FALSE,FALSE,FALSE,NA
"LINC01876","-",3,3,3,3,1,1,0.000847457627118644,0.00224719101123596,0,1,554639,771951,0.1,FALSE,FALSE,FALSE,FALSE,NA
"LINC01878","+",1,1,1,1,1,1,0.00113636363636364,0.0000632911392405063,0,1,107675,73307,1,FALSE,FALSE,FALSE,FALSE,NA
"LINC01881","+",7,6,8,9,2,1,0.00105820105820106,0.000848176420695505,0,1,0,53680,0.637186343068696,FALSE,FALSE,TRUE,FALSE,NA
"LINC01882","-",1,0,1,0,1,0,0.000294464075382803,0,0,0,0,12749058,1,FALSE,FALSE,FALSE,FALSE,NA
"LINC01884","+",3,3,3,3,1,1,0.000495785820525533,0.0021978021978022,0,1,405145,526073,1,FALSE,FALSE,FALSE,FALSE,NA
"LINC01899","-",1,0,1,0,1,0,0.000241196333815726,0,0,0,64230,71668385,1,FALSE,FALSE,FALSE,FALSE,NA
"LINC01907","-",0,1,0,1,0,1,0,0.000126887450831113,0,1,0,230699434,1,FALSE,FALSE,FALSE,FALSE,NA
"LINC01913","+",1,1,1,1,1,1,0.000722021660649819,0.00087260034904014,0,1,418468,194859,1,FALSE,FALSE,FALSE,FALSE,NA
"LINC01915","+",0,1,0,1,0,1,0,0.00045004500450045,0,1,64690,24563491,1,FALSE,FALSE,FALSE,FALSE,NA
"LINC01919","+",2,1,2,1,1,1,0.00101010101010101,0.0036231884057971,0,1,273687,76652,1,FALSE,FALSE,FALSE,FALSE,NA
"LINC01920","-",1,0,1,0,1,0,0.000485201358563804,0,0,0,21781,150530750,1,FALSE,FALSE,FALSE,FALSE,NA
"LINC01921","+",0,1,0,1,0,1,0,0.000354233085370174,0,1,147474,217019113,1,FALSE,FALSE,FALSE,FALSE,NA
"LINC01923","-",0,1,0,2,0,1,0,0.00241545893719807,0,1,50873,198262672,1,FALSE,FALSE,FALSE,FALSE,NA
"LINC01924","+",1,2,1,2,1,1,0.000847457627118644,0.00126903553299492,0,1,140902,352785,1,FALSE,FALSE,TRUE,FALSE,NA
"LINC01929","-",0,1,0,1,0,1,0,0.0000632911392405063,0,1,67705,55038198,1,FALSE,FALSE,FALSE,FALSE,NA
"LINC01932","+",0,1,0,1,0,1,0,0.000442086648983201,0,1,2679,159225035,1,FALSE,FALSE,FALSE,FALSE,NA
"LINC01933","+",1,0,1,0,1,0,0.000294464075382803,0,0,0,0,152163149,1,FALSE,FALSE,FALSE,FALSE,NA
"LINC01934","+",17,9,22,18,3,3,0.00591715976331361,0.0175438596491228,0.12962962962963,1,24145,274855,0.33912514536106,FALSE,FALSE,TRUE,FALSE,NA
"LINC01935","-",2,1,3,1,1,1,0.00255102040816327,0.000354233085370174,0,1,674426,601358,1,FALSE,FALSE,FALSE,FALSE,NA
"LINC01947","-",4,6,4,6,1,1,0.000722021660649819,0.00757575757575758,0,1,1144633,1283253,0.19047619047619,FALSE,FALSE,FALSE,FALSE,NA
"LINC01948","-",1,1,1,1,1,3,0.000278009452321379,0.000730104648332928,0,1,45689,47640,1,FALSE,FALSE,FALSE,FALSE,NA
"LINC01950","-",0,2,0,2,0,2,0,0.00431034482758621,0.166666666666667,1,676689,106427733,1,FALSE,FALSE,FALSE,FALSE,NA
"LINC01951","-",1,2,1,2,1,1,0.000241196333815726,0.0142857142857143,0,1,200057,343360,1,FALSE,FALSE,FALSE,FALSE,NA
"LINC01963","+",0,1,0,1,0,3,0,0.000189873417721519,0,1,18470,216238662,1,FALSE,FALSE,FALSE,FALSE,NA
"LINC01968","+",1,0,1,0,1,0,0.000495049504950495,0,0,0,0,194759417,1,FALSE,FALSE,FALSE,FALSE,NA
"LINC01970","-",2,0,2,0,1,0,0.00113636363636364,0,0,0,2942,82291640,1,FALSE,FALSE,FALSE,FALSE,NA
"LINC01973","-",1,3,1,3,1,1,0.000365764447695684,0.00126903553299492,0,1,48261,54493,1,FALSE,FALSE,FALSE,FALSE,NA
"LINC01981","-",2,1,2,1,2,1,0.00227272727272727,0.00709219858156028,0,1,170941,212224,1,FALSE,FALSE,FALSE,FALSE,NA
"LINC01986","+",1,0,1,0,1,0,0.00113636363636364,0,0,0,7529,32030,1,FALSE,FALSE,FALSE,FALSE,NA
"LINC01987","-",2,1,2,1,1,1,0.00131752305665349,0.000768639508070715,0,1,74662,50685,0.333333333333333,FALSE,FALSE,FALSE,FALSE,NA
"LINC01989","-",1,0,1,0,1,0,0.000495049504950495,0,0,0,9642,34193274,1,FALSE,FALSE,FALSE,FALSE,NA
"LINC01990","+",1,0,1,0,1,0,0.0019723865877712,0,0,0,11360,107475272,1,FALSE,FALSE,FALSE,FALSE,NA
"LINC01991","-",5,2,5,4,2,2,0.000482392667631452,0.0010482180293501,0.15,1,79857,171935,1,FALSE,FALSE,FALSE,FALSE,NA
"LINC01993","-",1,2,1,2,1,1,0.000405186385737439,0.00471698113207547,0,1,21832,38871,0.333333333333333,FALSE,FALSE,FALSE,FALSE,NA
"LINC01994","-",0,2,0,2,0,1,0,0.008,0,1,86810,182410854,1,FALSE,FALSE,FALSE,FALSE,NA
"LINC01995","-",0,1,0,1,0,1,0,0.00395256916996047,0,1,126112,182633236,1,FALSE,FALSE,FALSE,FALSE,NA
"LINC01996","+",0,1,0,1,0,1,0,0.0000632911392405063,0,1,0,4613302,1,FALSE,FALSE,FALSE,FALSE,NA
"LINC01999","+",0,2,0,2,0,1,0,0.00355871886120996,0,1,8137,60577489,1,FALSE,FALSE,FALSE,FALSE,NA
"LINC02000","-",1,0,1,0,1,0,0.000294464075382803,0,0,0,48011,134105659,1,FALSE,FALSE,FALSE,FALSE,NA
"LINC02001","+",3,0,3,0,1,0,0.000958772770853308,0,0,0,0,35573541,1,FALSE,FALSE,FALSE,FALSE,NA
"LINC02003","+",0,1,0,1,0,1,0,0.00353356890459364,0,1,17887,72373023,1,FALSE,FALSE,FALSE,FALSE,NA
"LINC02010","+",0,1,0,1,0,1,0,0.000742390497401633,0,1,111487,146810435,1,FALSE,FALSE,FALSE,FALSE,NA
"LINC02015","+",6,6,6,6,1,4,0.00101010101010101,0.00602409638554217,0.277777777777778,2,243476,329851,0.545454545454546,FALSE,FALSE,TRUE,FALSE,NA
"LINC02026","-",0,1,0,1,0,1,0,0.00431034482758621,0,1,124616,193832755,1,FALSE,FALSE,FALSE,FALSE,NA
"LINC02027","+",0,2,0,3,0,1,0,0.000768639508070715,0,1,588631,81277322,1,FALSE,FALSE,FALSE,FALSE,NA
