"gene_name","gene_ort","TDN_num_patients","TP_num_patients","TDN_num_sites","TP_num_sites","TDN_peak_abund","TP_peak_abund","TDN_peak_relAbund","TP_peak_relAbund","abund_gini","long_count","max_geneDist","genomic_range","ort_fisher_test","On_Onco_List","Top_1pc_Abund","Top_10pc_Abund","Within_Cluster","Cluster_target.min"
"ACAD8","+",1,0,1,0,1,0,0.00016095284081764,0,0,0,0,134265588,1,FALSE,FALSE,FALSE,FALSE,NA
"ACAD9","+",7,1,10,1,1,1,0.000847457627118644,0.000311720698254364,0,1,0,14030,1,FALSE,FALSE,FALSE,FALSE,NA
"ACADL","-",1,1,1,1,1,1,0.000695410292072323,0.000911577028258888,0,1,16745,53481,1,FALSE,FALSE,FALSE,FALSE,NA
"ACADM","+",8,2,9,2,1,1,0.000428265524625268,0.000742390497401633,0,1,0,32824,0.490909090909091,TRUE,FALSE,FALSE,FALSE,NA
"ACADS","+",0,1,0,1,0,1,0,0.00126903553299492,0,1,4665,120744673,1,FALSE,FALSE,FALSE,FALSE,NA
"ACADSB","+",1,1,1,1,1,1,0.000722021660649819,0.00176991150442478,0,1,0,129,1,FALSE,FALSE,FALSE,FALSE,NA
"ACADVL","+",5,0,5,0,1,0,0.000477326968973747,0,0,0,0,7224286,1,FALSE,FALSE,FALSE,FALSE,NA
"ACAP1","+",25,2,40,4,3,1,0.00131752305665349,0.0050761421319797,0,1,3160,15841,0.633704355769018,TRUE,FALSE,FALSE,FALSE,NA
"ACAP2","-",30,8,53,13,2,7,0.00492610837438424,0.00598802395209581,0.315384615384616,2,19855,187211,0.549151079978356,FALSE,FALSE,TRUE,FALSE,NA
"ACAP3","-",5,0,5,0,2,0,0.001,0,0,0,0,1306308,1,FALSE,FALSE,FALSE,FALSE,NA
"ACAT1","+",2,1,2,1,1,1,0.000908265213442325,0.000354233085370174,0,1,0,7221,1,FALSE,FALSE,FALSE,FALSE,NA
"ACAT2","+",1,0,1,0,1,0,0.000485201358563804,0,0,0,0,159772039,1,FALSE,FALSE,FALSE,FALSE,NA
"ACBD3","-",11,3,12,3,3,1,0.0012847965738758,0.00354609929078014,0,1,12209,60670,0.569230769230769,FALSE,FALSE,FALSE,FALSE,NA
"ACBD4","+",2,0,2,0,1,0,0.000282406099971759,0,0,0,914,45145095,1,FALSE,FALSE,FALSE,FALSE,NA
"ACBD5","-",6,6,7,6,1,5,0.000428265524625268,0.0224215246636771,0.348484848484848,1,0,43105,0.592074592074592,FALSE,FALSE,TRUE,FALSE,NA
"ACBD6","-",10,3,14,4,1,1,0.000722021660649819,0.00218340611353712,0,1,15603,218511,1,FALSE,FALSE,FALSE,FALSE,NA
"ACBD7-DCLRE1CP1","-",2,1,2,1,1,1,0.000428265524625268,0.00176991150442478,0,1,0,51747,0.333333333333333,FALSE,FALSE,FALSE,FALSE,NA
"ACD","-",1,0,1,0,1,0,0.000405186385737439,0,0,0,0,67658823,1,FALSE,FALSE,FALSE,FALSE,NA
"ACE","+",1,0,1,0,1,0,0.000495049504950495,0,0,0,11237,63509617,1,FALSE,FALSE,FALSE,FALSE,NA
"ACER1","-",6,1,8,1,2,2,0.000482392667631452,0.00459770114942529,0,2,13448,19224,1,FALSE,FALSE,FALSE,FALSE,NA
"ACER2","+",0,2,0,2,0,1,0,0.000859106529209622,0,1,1485,19412461,1,FALSE,FALSE,FALSE,FALSE,NA
"ACER3","+",5,3,5,4,2,1,0.00265957446808511,0.00319488817891374,0,1,4245,165917,0.206349206349207,FALSE,FALSE,FALSE,FALSE,NA
"ACHE","-",1,1,1,1,1,1,0.000271591526344378,0.000311720698254364,0,1,15788,5929,1,FALSE,FALSE,FALSE,FALSE,NA
"ACIN1","-",20,6,29,9,2,5,0.000991571641051066,0.00674157303370787,0.333333333333333,1,0,28427,1,FALSE,FALSE,TRUE,FALSE,NA
"ACKR2","+",1,0,1,0,1,0,0.00018723085564501,0,0,0,0,42820371,1,FALSE,FALSE,FALSE,FALSE,NA
"ACKR3","+",4,2,5,2,1,1,0.000519480519480519,0.00448430493273543,0,1,195273,235939,0.285714285714286,TRUE,FALSE,FALSE,FALSE,NA
