"timepoint","num_UniqueSites","num_UniqueSites_CR","num_UniqueSites_NR","num_Patients","num_Patients_CR","num_Patients_NR","estAbund","relAbund","refSeq_counts.10k","refSeq_counts.100k","refSeq_counts.1M","GC.100","GC.1k","GC.10k","GC.100k","GC.1M","CpG_counts.1k","CpG_counts.10k","CpG_density.10k","CpG_density.100k","CpG_density.1M","DNaseI_count.1k","DNaseI_count.10k","DNaseI_count.100k","DNaseI_count.1M","hg38.10k...34","hg38.10k...35","hg38.10k...36","hg38.10k...37","hg38.10k...38","hg38.10k...39","hg38.10k...40","hg38.10k...41","hg38.10k...42","hg38.10k...43","hg38.10k...44","hg38.10k...45","hg38.10k...46","hg38.10k...47","hg38.10k...48","hg38.10k...49","hg38.10k...50","hg38.10k...51","hg38.10k...52","hg38.10k...53","hg38.10k...54","hg38.10k...55","hg38.10k...56","hg38.10k...57","hg38.10k...58","hg38.10k...59","hg38.10k...60","hg38.10k...61","hg38.10k...62","hg38.10k...63","hg38.10k...64","hg38.10k...65","hg38.10k...66","hg38.10k...67","hg38.10k...68","hg38.10k...69","hg38.10k...70","hg38.10k...71","hg38.10k...72","hg38.10k...73","hg38.10k...74","hg38.10k...75","hg38.10k...76","hg38.10k...77","hg38.10k...78","hg38.10k...79","hg38.10k...80","hg38.10k...81","hg38.10k...82","hg38.10k...83","hg38.10k...84","hg38.10k...85","hg38.10k...86","hg38.10k...87","hg38.10k...88","hg38.10k...89","hg38.10k...90","hg38.10k...91","hg38.10k...92","hg38.10k...93","clustersRepresented","numSitesInClusters","abundInClusters"
"d23",177,0,177,1,0,0,1.25988700564972,0.00564971751412429,1.79661016949153,4.8135593220339,33.8248587570621,0.499491525423729,0.437661016949153,0.430274576271186,0.431066751542801,0.430847580162025,0.0451977401129944,0.163841807909605,0.0000163841807909605,0.0000167796610169492,0.0000172542372881356,0.610169491525424,7.40677966101695,82.3333333333333,816.418079096045,48.0564971751412,54.180790960452,434.621468926554,0.112994350282486,0.0738636363636364,0.0451977401129944,8.61016949152542,13.9378531073446,6.04519774011299,21.4745762711864,14.1468926553672,13.180790960452,16.090395480226,13.361581920904,62.8531073446328,12.1864406779661,16.2090395480226,8.67231638418079,13.1864406779661,35.7966101694915,25.0621468926554,24.6949152542373,15.4463276836158,25.5367231638418,52.7344632768362,13.7909604519774,47.2994350282486,23.7627118644068,50.5197740112994,33.0960451977401,5.40677966101695,27.5819209039548,13.5084745762712,39.1694915254237,25.2203389830508,15.3220338983051,32.6779661016949,20.4689265536723,13.8248587570621,26.0056497175141,112.186440677966,12.9152542372881,15.6610169491525,15.3389830508475,13.7909604519774,25.6214689265537,0,0,5.88135593220339,17.0282485875706,27.6440677966102,22.8757062146893,21.090395480226,26.8531073446328,40.2824858757062,31.6101694915254,18.5819209039548,27.8531073446328,30.3333333333333,416.790960451977,2,2,2
"d25",405,0,405,2,0,0,1.64197530864198,0.00739163018183252,2.06913580246914,5.74567901234568,38.841975308642,0.468197530864198,0.415140740740741,0.416084589271178,0.42360376589381,0.431281510285598,0.0222222222222222,0.150617283950617,0.0000150617283950617,0.0000175802469135802,0.0000180814814814815,0.861728395061728,8.07654320987654,81.7777777777778,803.345679012346,61.4567901234568,63.3728395061728,421.62962962963,0.0864197530864197,0.0746268656716418,0.0320987654320988,9.31111111111111,14.4641975308642,6.79259259259259,20.8074074074074,17.0716049382716,15.5555555555556,19.2320987654321,18.0172839506173,70.7308641975309,12.7481481481481,17.1185185185185,10.4271604938272,18.1753086419753,49.883950617284,21.7382716049383,18.0074074074074,17.5530864197531,25.516049382716,75.5654320987654,16.5950617283951,62.9679012345679,32.8493827160494,66.4864197530864,32.7185185185185,5.54074074074074,21.3679012345679,15.3185185185185,57.0518518518519,22.6888888888889,13.0345679012346,34.1086419753086,21.1135802469136,20.4716049382716,30.7308641975309,131.543209876543,12.8987654320988,20.316049382716,22.4197530864198,16.9876543209877,24.4049382716049,0,0,5.08395061728395,26.4716049382716,31.6123456790123,26.1753086419753,23.5012345679012,28.9185185185185,49.6320987654321,40.2888888888889,20.3012345679012,31.7604938271605,34.3530864197531,407.456790123457,4,16,23
"d28",7288,5139,2149,36,0,0,1.6872461413485,0.00493033801378144,2.4911995667479,5.93853235851611,39.8392905496886,0.418933116707284,0.40815028432169,0.414718502011005,0.426552635997046,0.434925875970866,0.00717573788248037,0.149471974004874,0.0000149471974004874,0.0000192607636068237,0.0000195182778229082,0.935959924180883,8.64771188735445,88.4918765231519,862.361630111021,63.9935012185215,69.4646628757108,451.893988627132,0.113728675873274,0.0889341479972845,0.0488762523693474,10.7682101272678,16.7439750880043,7.37557541294341,21.9647982669916,19.984294611427,17.9327105334416,22.5659355537503,21.3578391551584,62.9416463579745,14.0400758191172,20.2992147305714,12.1402653669104,21.8503926347143,56.8203357703764,22.2981316003249,18.6873815326293,20.8304901164365,27.1340373679935,82.0567289466558,19.1734362307067,73.1158949363661,36.4761711345789,69.8643379366369,35.2024099647983,5.76130517194693,22.1320064987815,16.3345518548605,64.3127538586515,22.9050907121581,13.0476577308421,35.927024099648,21.7140536149472,23.9381261846737,33.3032764689954,112.370430544273,12.5185486054698,23.6051990251828,25.8382074194422,18.5450852965069,23.7442458705659,0.000829324929507381,0.00388888888888889,5.67140536149472,28.9253994042784,34.0419712970485,28.8600054156512,26.3514757649607,31.817221770918,52.6364744110479,43.4821283509342,22.306255077173,35.5426482534525,36.605063633902,433.69428648795,46,135,291
"d36",5,0,5,1,0,0,1,0.2,3.4,6.4,35,0.408,0.418,0.42974,0.437786,0.4455452,0,0.2,0.00002,0.00001,0.0000168,1.2,9.6,97,918.6,56,67.2,428.2,0,0,0,7.4,14.6,7.2,6.2,9.6,12,13.8,13.8,82.4,10.6,9.4,11.4,12.6,70.8,9.4,14.4,15.4,25.8,327.4,10,59.4,33.4,40.4,32,6.2,75.6,11,69.2,16.8,35.8,46,26,35.4,40.8,125.4,179.8,25.2,26.8,9,29,0,0,3.6,22.8,23,24,21,32,48,40.4,16.6,28,31,394.8,0,0,0
"d50",397,397,0,1,0,0,5.49874055415617,0.00251773834897261,2.72040302267003,7.73551637279597,54.9471032745592,0.410352644836272,0.414453400503778,0.42962040302267,0.44496637279597,0.457026711957352,0.0151133501259446,0.211586901763224,0.0000211586901763224,0.0000278841309823678,0.0000297607052896725,1.02518891687657,9.30730478589421,96.1158690176322,938.780856423174,68.8664987405541,72.8564231738035,429.070528967254,0.188916876574307,0.146835443037975,0.0629722921914358,12.9622166246851,18.6146095717884,7.66750629722922,22.1158690176322,23.5843828715365,19.1863979848866,26.3022670025189,26.5566750629723,90.0201511335013,13.5541561712846,22.8261964735516,13.0251889168766,26.2115869017632,66.1712846347607,19.0705289672544,13.3198992443325,22.6423173803526,27.6045340050378,92.5088161209068,21.9546599496222,101.531486146096,46.3224181360202,81.5869017632242,36.4811083123426,5.17128463476071,19.168765743073,18.103274559194,81.6624685138539,18.5239294710327,9.10831234256927,38.5188916876574,22.5869017632242,27.3803526448363,38.6171284634761,174.942065491184,9.08060453400504,27.7380352644836,28.6649874055416,23.8690176322418,23.9244332493703,0,0,5.93954659949622,36.9068010075567,35.0125944584383,28.6725440806045,24.6045340050378,30.7858942065491,52.2015113350126,43.7254408060453,23.0100755667506,34.1511335012594,38.8664987405542,421.916876574307,11,15,133
"m2",1306,886,420,8,0,0,1.34226646248086,0.00586640862195335,2.37748851454824,5.75574272588055,38.9785604900459,0.436316998468606,0.414018843691167,0.418361424350705,0.427645797726774,0.435305468349183,0.00689127105666156,0.153905053598775,0.0000153905053598775,0.0000186370597243492,0.0000190581929555896,0.911179173047473,8.9624808575804,88.8162327718224,860.619448698316,65.3973966309342,69.3399693721286,457.76875957121,0.124808575803982,0.113671274961598,0.057427258805513,10.9724349157734,17.0068912710567,7.35298621745789,24.3843797856049,21.0987748851455,18.7304747320061,23.5061255742726,22.2932618683002,63.0819295558959,14,21.2304747320061,12.4257274119449,23.0199081163859,54.3430321592649,23.4448698315467,20.3828483920368,21.7090352220521,27.771056661562,76.9571209800919,19.9333843797856,73.1163859111792,36.833843797856,78.771056661562,35.3346094946401,5.88897396630934,22.7098009188361,17.4096477794793,63.2756508422665,23.3307810107198,13.0068912710567,35.9885145482389,21.5604900459418,22.7879019908116,33.0826952526799,113.676875957121,11.8568147013783,23.9494640122511,25.5903522205207,19.2442572741194,23.9341500765697,0,0,6.05742725880551,29.9471669218989,34.0880551301685,28.676875957121,25.7166921898928,31.853751914242,51.572741194487,42.6447166921899,21.9655436447167,34.8705972434916,36.7817764165391,441.246554364472,12,16,30
"d63",88,88,0,1,0,0,1.625,0.0113636363636364,1.42045454545455,3.40909090909091,17.8068181818182,0.392954545454545,0.390454545454545,0.393266988062443,0.39707452600657,0.405008886534206,0,0.0568181818181818,0.00000568181818181818,0.00000715909090909091,0.00000754545454545455,0.545454545454545,5.44318181818182,56.3522727272727,546.636363636364,39.8636363636364,47.4090909090909,315.795454545455,0.0681818181818182,0.0568181818181818,0.0113636363636364,6.70454545454545,11.1590909090909,4.39772727272727,18.5340909090909,12.3409090909091,12,14.0909090909091,11.7840909090909,28.3068181818182,10.0113636363636,15.0227272727273,8.85227272727273,13.1931818181818,35.2272727272727,15.6590909090909,14.3068181818182,14.6931818181818,18.1590909090909,51.5113636363636,12.3068181818182,42.4318181818182,23.1818181818182,52.5113636363636,22.2272727272727,4.19318181818182,15.875,11.5454545454545,38.3522727272727,18.6931818181818,9.875,22.5,13.1704545454545,14.9886363636364,18.6477272727273,43.125,9.56818181818182,15.3295454545455,17.3863636363636,9.47727272727273,14.8068181818182,0,0,2.94318181818182,13.6022727272727,23.9545454545455,19.8977272727273,18.5340909090909,20.9090909090909,32.0454545454545,29.0113636363636,14.9886363636364,24.3636363636364,23.5568181818182,296.056818181818,1,2,2
"m3",621,621,0,2,0,0,1.17230273752013,0.00319562661688721,1.5780998389694,5.01610305958132,36.0563607085346,0.487117552334944,0.436975845410628,0.433108051529791,0.434348474222651,0.435091820265952,0.0112721417069243,0.152979066022544,0.0000152979066022544,0.0000178260869565217,0.0000168148148148148,0.822866344605475,8.67632850241546,87.9597423510467,860.657004830918,53.1417069243156,61.3864734299517,486.539452495974,0.103059581320451,0.0741935483870968,0.0418679549114332,10.7616747181965,15.5169082125604,6.94363929146538,26.1513687600644,16.9790660225443,15.4975845410628,19.2834138486312,15.1594202898551,43.1288244766506,13.9404186795491,18.4202898550725,10.1304347826087,15.8132045088567,41.2463768115942,29.024154589372,27.866344605475,18.3446054750403,29.1787439613527,60.2737520128824,16.7133655394525,50.6360708534622,24.8148148148148,60.3800322061192,35.2882447665056,6.09822866344606,31.1545893719807,15.3574879227053,41.304347826087,27.3977455716586,16.061191626409,35.8599033816425,21.4363929146538,15.5990338164251,29.9919484702093,62.487922705314,20.9565217391304,19.0016103059581,19.0499194847021,17.1175523349436,26.29307568438,0,0.0115511551155116,6.0450885668277,18.2367149758454,30.8679549114332,23.9806763285024,22.1046698872786,29.4331723027375,40.133655394525,34.4589371980676,20.1078904991948,29.6054750402576,32.9227053140097,458.553945249597,2,2,7
"d92",14,14,0,1,0,0,1.21428571428571,0.0674603174603175,1.57142857142857,5.28571428571429,54.7857142857143,0.483571428571429,0.426928571428571,0.418592857142857,0.426309285714286,0.433822642857143,0,0.285714285714286,0.0000285714285714286,0.0000214285714285714,0.0000269285714285714,0.857142857142857,8.5,81.5,819.857142857143,64.2142857142857,69.5714285714286,445.357142857143,0.0714285714285714,0,0,9.35714285714286,12.9285714285714,6.42857142857143,28.3571428571429,15,14.6428571428571,16.5,16.2142857142857,33.7857142857143,11.7857142857143,14.9285714285714,8.57142857142857,16.3571428571429,31.7142857142857,24.8571428571429,26.5714285714286,19.2142857142857,25.2142857142857,61.5,12.2142857142857,38.7857142857143,20.9285714285714,77.5714285714286,34.5714285714286,6.57142857142857,31.5714285714286,15.2857142857143,34.0714285714286,27.7857142857143,19.1428571428571,33.1428571428571,17.5714285714286,14.7142857142857,31.2857142857143,71,16.4285714285714,17.2857142857143,18.2857142857143,12.3571428571429,24.2142857142857,0,0,5.28571428571429,25.0714285714286,33.7857142857143,27.8571428571429,26.4285714285714,33.2857142857143,43.2857142857143,42.5,22.7142857142857,33.7142857142857,35.2142857142857,431.071428571429,0,0,0
"d120",17,17,0,1,0,0,6.64705882352941,0.0568124685771745,1.35294117647059,3.11764705882353,30.3529411764706,0.505882352941176,0.464117647058824,0.424635294117647,0.427901764705882,0.427966705882353,0.117647058823529,0.294117647058824,0.0000294117647058824,0.0000117647058823529,0.000015,1.11764705882353,6.76470588235294,72.6470588235294,797.764705882353,48.0588235294118,49.1764705882353,485.411764705882,0,0,0,6.23529411764706,13.1764705882353,5.47058823529412,19.4705882352941,10.5294117647059,13.1764705882353,14.6470588235294,7,30.5882352941176,14.2352941176471,14.2941176470588,8.76470588235294,10.7058823529412,34.4117647058824,29.8235294117647,28.9411764705882,16.7058823529412,28.2941176470588,73.0588235294118,12.5294117647059,34.5294117647059,16.8235294117647,33.2941176470588,30.5882352941176,5.70588235294118,30.1176470588235,10.4705882352941,31.4117647058824,29.5294117647059,16.2941176470588,33.2352941176471,20.1764705882353,11.7647058823529,26.2352941176471,23.5294117647059,10.1176470588235,14.6470588235294,15.9411764705882,10.1176470588235,22.0588235294118,0,0,7.05882352941176,7.52941176470588,23.4705882352941,19.8823529411765,20.6470588235294,25.0588235294118,35.2941176470588,30.4705882352941,18.8235294117647,26.0588235294118,27.3529411764706,459.352941176471,0,0,0
