"gene_name","gene_ort","TDN_num_patients","TP_num_patients","TDN_num_sites","TP_num_sites","TDN_sum_abund","TP_sum_abund","TDN_same_ort","TDN_oppo_ort","TP_same_ort","TP_oppo_ort","ort_fisher_test","abund_gini","Overlapping_Genes","On_Onco_List","Top_1pc_Abund","Top_10pc_Abund","Within_Cluster","Cluster_target.min"
"'CYB5D2","+",3,1,3,3,3,6,1,2,0,3,1,0,"MIR5096",FALSE,FALSE,FALSE,TRUE,1.7740421349779
"'DHX40","+",2,4,2,4,2,4,0,2,2,2,0.466666666666667,0,"",FALSE,FALSE,FALSE,TRUE,4.57068975071843
"'REEP6","+",0,1,0,1,0,1,0,0,0,1,1,0,"",FALSE,FALSE,FALSE,TRUE,3.48097398823765
"'PLK5","+",0,1,0,1,0,1,0,0,0,1,1,0,"",FALSE,FALSE,TRUE,TRUE,3.48097398823765
"'MEX3D","-",1,1,1,1,1,1,1,0,0,1,1,0,"",FALSE,FALSE,FALSE,TRUE,3.48097398823765
"'MAN2B1","-",7,5,9,10,9,10,5,4,9,1,0.140866873065016,0,"",FALSE,FALSE,TRUE,TRUE,7.59119386086158
"'WDR83","+",1,3,1,4,1,4,1,0,1,3,0.4,0,"WDR83OS, DHPS",FALSE,FALSE,FALSE,TRUE,7.59119386086158
"'DHPS","-",1,2,1,2,1,2,1,0,1,1,1,0,"WDR83",FALSE,FALSE,TRUE,TRUE,7.59119386086158
"'LCA5L","-",1,1,1,1,1,1,1,0,1,0,1,0,"WRB-SH3BGR",FALSE,FALSE,TRUE,TRUE,3.87869528783106
"'ACTL6A","+",6,1,6,2,7,46,4,2,2,0,1,0,"",FALSE,TRUE,TRUE,FALSE,NA
"'CD109","+",11,1,13,1,14,32,4,9,1,0,0.357142857142857,0,"LOC101928489",TRUE,TRUE,TRUE,FALSE,NA
"'RBAK","+",4,1,4,3,4,30,2,2,3,0,0.428571428571429,0,"RBAK-RBAKDN",FALSE,TRUE,TRUE,FALSE,NA
"'RBAK-RBAKDN","+",4,1,4,3,4,30,2,2,3,0,0.428571428571429,0,"RBAK, RBAKDN",FALSE,TRUE,TRUE,FALSE,NA
"'C19orf48","-",3,1,4,4,5,51,2,2,4,0,0.428571428571429,0,"SNORD88B, SNORD88A, SNORD88C",FALSE,TRUE,TRUE,FALSE,NA
"'KARS","-",2,1,2,2,2,26,1,1,2,0,1,0,"",FALSE,TRUE,TRUE,FALSE,NA
"'F2R","+",1,1,1,3,1,26,0,1,0,3,1,0,"",FALSE,TRUE,TRUE,FALSE,NA
"'RPIA","+",2,1,2,2,2,23,2,0,0,2,0.333333333333333,0,"",FALSE,TRUE,TRUE,FALSE,NA
"'ANKRD40","-",0,1,0,2,0,24,0,0,2,0,1,0,"",FALSE,TRUE,TRUE,FALSE,NA
"'ABCD1","+",3,1,4,1,4,18,1,3,0,1,1,0,"",FALSE,TRUE,TRUE,FALSE,NA
"'LINC02256","+",1,1,1,3,1,21,0,1,3,0,0.25,0,"",FALSE,TRUE,TRUE,FALSE,NA
"'SLC35F6","+",3,1,3,1,4,6,2,1,1,0,1,0,"",FALSE,TRUE,TRUE,FALSE,NA
"'PTPDC1","+",3,1,3,1,3,5,2,1,1,0,1,0,"",FALSE,TRUE,TRUE,FALSE,NA
"'ITIH5","-",1,1,1,1,1,5,1,0,1,0,1,0,"",FALSE,TRUE,TRUE,FALSE,NA
"'DNAJC14","-",5,1,5,2,6,17,3,2,2,0,1,0,"ORMDL2, TMEM198B",FALSE,TRUE,TRUE,FALSE,NA
"'ZNF876P","+",1,1,1,2,1,9,1,0,2,0,1,0,"",FALSE,TRUE,TRUE,FALSE,NA
"'RCSD1","+",4,3,4,3,4,3,2,2,2,1,1,0,"",FALSE,TRUE,TRUE,FALSE,NA
"'KLF7","-",6,2,10,2,10,2,6,4,1,1,1,0,"MIR2355, MIR7845",FALSE,TRUE,TRUE,FALSE,NA
"'CPNE4","-",2,2,2,2,2,2,0,2,1,1,1,0,"MIR5704",FALSE,TRUE,TRUE,FALSE,NA
"'CXXC4-AS1","+",0,1,0,1,0,1,0,0,0,1,1,0,"CXXC4",FALSE,TRUE,TRUE,FALSE,NA
"'ARSB","-",1,2,1,2,1,2,0,1,2,0,0.333333333333333,0,"",FALSE,TRUE,TRUE,FALSE,NA
"'AGBL1","+",4,5,4,5,4,5,3,1,3,2,1,0,"LINC01584, AGBL1-AS1, LOC105370954, LOC102724452",FALSE,TRUE,TRUE,FALSE,NA
"'ADGRG4","+",0,1,0,1,0,5,0,0,1,0,1,0,"",FALSE,TRUE,TRUE,FALSE,NA
"'AKT2","-",6,1,7,1,9,6,3,4,1,0,1,0,"MIR641",TRUE,TRUE,TRUE,FALSE,NA
"'MICAL2","+",6,1,7,4,7,76,4,3,4,0,0.236363636363637,0,"MIR6124",FALSE,TRUE,TRUE,FALSE,NA
"'LOC101927501","+",0,1,0,2,0,36,0,0,2,0,1,0,"",FALSE,TRUE,TRUE,FALSE,NA
"'LOC100128993","-",0,1,0,1,0,4,0,0,0,1,1,0,"",FALSE,TRUE,TRUE,FALSE,NA
"'ARF1","+",1,1,1,2,1,18,0,1,2,0,0.333333333333333,0,"MIR3620",FALSE,TRUE,TRUE,FALSE,NA
"'LOC100288637","-",4,4,5,4,5,4,2,3,2,2,1,0,"OTUD7A, CHRNA7, LINC02249, GOLGA8H, GOLGA8K, GOLGA8T, ULK4P1, ULK4P2",FALSE,TRUE,TRUE,FALSE,NA
"'LRIF1","-",1,1,1,1,1,6,1,0,1,0,1,0,"",FALSE,TRUE,TRUE,FALSE,NA
"'PLEKHM3","-",2,1,2,1,2,6,2,0,1,0,1,0,"",FALSE,TRUE,TRUE,FALSE,NA
"'TWISTNB","-",6,1,6,1,6,6,3,3,0,1,1,0,"MIR3146",FALSE,TRUE,TRUE,FALSE,NA
"'NSMF","-",2,1,2,2,4,5,0,2,2,0,0.333333333333333,0,"MIR7114",FALSE,TRUE,TRUE,FALSE,NA
