"gene_name","gene_ort","TDN_num_patients","TP_num_patients","TDN_num_sites","TP_num_sites","TDN_peak_abund","TP_peak_abund","TDN_peak_relAbund","TP_peak_relAbund","abund_gini","long_count","max_geneDist","genomic_range","ort_fisher_test","On_Onco_List","Top_1pc_Abund","Top_10pc_Abund","Within_Cluster","Cluster_target.min"
"GGTLC2","+",0,1,0,1,0,1,0,0.000360880548538434,0,1,18204,22666102,1,FALSE,FALSE,FALSE,FALSE,NA
"GH2","-",1,0,1,0,1,0,0.00132978723404255,0,0,0,1699,63883641,1,FALSE,FALSE,FALSE,FALSE,NA
"GHET1","+",1,0,1,0,1,0,0.000131319763624425,0,0,0,4217,148993641,1,FALSE,FALSE,FALSE,FALSE,NA
"GHITM","+",3,3,4,3,1,1,0.000722021660649819,0.0033112582781457,0,1,128336,140658,1,FALSE,FALSE,FALSE,FALSE,NA
"GHRHR","+",1,0,1,0,1,0,0.000182381907714755,0,0,0,23257,31002788,1,FALSE,FALSE,FALSE,FALSE,NA
"GID4","+",1,0,2,0,1,0,0.000495049504950495,0,0,0,0,18064701,1,FALSE,FALSE,FALSE,FALSE,NA
"GID8","+",5,5,6,5,1,1,0.000307408545957578,0.00429184549356223,0,1,226,7649,0.545454545454546,FALSE,FALSE,TRUE,FALSE,NA
"GIGYF1","-",2,0,3,0,1,0,0.000908265213442325,0,0,0,0,100682946,1,FALSE,FALSE,FALSE,FALSE,NA
"GIGYF2","+",8,8,19,15,3,2,0.00128700128700129,0.00395256916996047,0.0583333333333327,1,0,150808,0.737942520675146,FALSE,FALSE,TRUE,FALSE,NA
"GIMAP1","+",1,0,1,0,1,0,0.00016095284081764,0,0,0,11281,150705275,1,FALSE,FALSE,FALSE,FALSE,NA
"GIMAP1-GIMAP5","+",7,5,12,5,2,1,0.00102564102564103,0.000442086648983201,0,1,10107,35370,1,FALSE,FALSE,FALSE,FALSE,NA
"GIMAP2","+",5,4,7,5,2,1,0.00144404332129964,0.0036231884057971,0,1,25354,43455,1,FALSE,FALSE,FALSE,FALSE,NA
"GIMAP4","+",5,5,11,8,1,2,0.000643500643500643,0.0285714285714286,0.15,1,18258,42176,0.602683178534572,FALSE,FALSE,FALSE,FALSE,NA
"GIMAP6","-",8,4,15,4,2,1,0.000958772770853308,0.00395256916996047,0,1,23370,44384,0.602683178534572,FALSE,FALSE,FALSE,FALSE,NA
"GIMAP7","+",11,6,27,11,1,2,0.00102564102564103,0.00229885057471264,0.0757575757575757,1,10262,24095,0.475633586868292,TRUE,FALSE,TRUE,FALSE,NA
"GIMAP8","+",7,6,13,7,1,17,0.000428265524625268,0.00529925187032419,0.580645161290322,2,13607,31724,0.173581011351909,FALSE,TRUE,TRUE,FALSE,NA
"GIMD1","-",1,0,1,0,1,0,0.000643500643500643,0,0,0,238772,106606207,1,FALSE,FALSE,FALSE,FALSE,NA
"GIN1","-",1,0,1,0,1,0,0.000495049504950495,0,0,0,0,103111584,1,FALSE,FALSE,FALSE,FALSE,NA
"GINS1","+",3,3,4,3,1,2,0.000303122158229767,0.000531632110579479,0.166666666666667,1,0,30243,1,FALSE,FALSE,TRUE,FALSE,NA
"GINS4","+",0,1,0,1,0,1,0,0.00112739571589628,0,1,0,41531902,1,FALSE,FALSE,TRUE,FALSE,NA
"GIP","-",1,0,1,0,1,0,0.000182381907714755,0,0,0,6774,48975367,1,TRUE,FALSE,FALSE,FALSE,NA
"GIPC1","-",1,0,1,0,1,0,0.000307408545957578,0,0,0,2363,14498512,1,FALSE,FALSE,FALSE,FALSE,NA
"GIPC2","+",1,1,1,1,1,1,0.000182381907714755,0.000243368216110976,0,1,13424,116198,1,FALSE,FALSE,FALSE,FALSE,NA
"GIPR","+",0,1,0,1,0,1,0,0.000126887450831113,0,1,0,45673289,1,FALSE,FALSE,FALSE,FALSE,NA
"GIT1","-",1,0,1,0,1,0,0.00018723085564501,0,0,0,0,29582326,1,FALSE,FALSE,FALSE,FALSE,NA
"GIT2","-",7,4,14,4,1,1,0.00166112956810631,0.0033112582781457,0,1,619,57006,0.576470588235294,FALSE,FALSE,TRUE,FALSE,NA
"GJA1","+",0,1,0,1,0,1,0,0.00176991150442478,0,1,393451,121843195,1,FALSE,FALSE,FALSE,FALSE,NA
"GJA3","-",1,0,1,0,1,0,0.000182381907714755,0,0,0,11879,20126376,1,FALSE,FALSE,FALSE,FALSE,NA
"GJA4","+",1,0,1,0,1,0,0.000131319763624425,0,0,0,25123,34820870,1,FALSE,FALSE,FALSE,FALSE,NA
"GJA9-MYCBP","-",1,1,1,1,1,1,0.000182381907714755,0.0021978021978022,0,1,0,1528,1,FALSE,FALSE,TRUE,FALSE,NA
"GJB1","+",1,2,1,3,1,1,0.000131319763624425,0.00429184549356223,0,1,3811,7317,1,FALSE,FALSE,FALSE,FALSE,NA
"GJB6","-",2,0,2,0,1,0,0.000182381907714755,0,0,0,35544,20267939,1,FALSE,FALSE,FALSE,FALSE,NA
"GJC2","+",1,0,1,0,1,0,0.000182381907714755,0,0,0,0,228151563,1,FALSE,FALSE,FALSE,FALSE,NA
